step,timestamp,bandwidth_kbps_raw,bandwidth_bps,bandwidth_mbps
274,2018.01.19_07.36.53,29212.0,29212000.0,29.212
275,2018.01.19_07.36.54,31069.0,31069000.0,31.069
276,2018.01.19_07.36.55,23061.0,23061000.0,23.061
277,2018.01.19_07.36.56,31404.0,31404000.0,31.404
278,2018.01.19_07.36.57,29279.0,29279000.0,29.279
279,2018.01.19_07.36.58,32925.0,32925000.0,32.925
280,2018.01.19_07.37.00,18833.0,18833000.0,18.833
281,2018.01.19_07.37.01,30040.0,30040000.0,30.04
282,2018.01.19_07.37.02,25096.0,25096000.0,25.096
283,2018.01.19_07.37.03,18654.0,18654000.0,18.654
284,2018.01.19_07.37.04,24213.0,24213000.0,24.213
285,2018.01.19_07.37.05,26271.0,26271000.0,26.271
286,2018.01.19_07.37.06,28977.0,28977000.0,28.977
287,2018.01.19_07.37.08,23531.0,23531000.0,23.531
288,2018.01.19_07.37.09,31784.0,31784000.0,31.784
289,2018.01.19_07.37.10,36896.0,36896000.0,36.896
290,2018.01.19_07.37.11,28686.0,28686000.0,28.686
291,2018.01.19_07.37.12,34133.0,34133000.0,34.133
292,2018.01.19_07.37.13,24079.0,24079000.0,24.079
293,2018.01.19_07.37.14,33540.0,33540000.0,33.54
294,2018.01.19_07.37.15,26987.0,26987000.0,26.987
295,2018.01.19_07.37.16,24940.0,24940000.0,24.94
296,2018.01.19_07.37.17,14483.0,14483000.0,14.483
297,2018.01.19_07.37.18,8253.0,8253000.0,8.253
298,2018.01.19_07.37.20,11553.0,11553000.0,11.553
299,2018.01.19_07.37.20,11553.0,11553000.0,11.553
300,2018.01.19_07.37.21,5983.0,5983000.0,5.983
301,2018.01.19_07.37.22,7605.0,7605000.0,7.605
302,2018.01.19_07.37.23,3701.0,3701000.0,3.701
303,2018.01.19_07.37.24,4764.0,4764000.0,4.764
304,2018.01.19_07.37.25,5435.0,5435000.0,5.435
305,2018.01.19_07.37.26,3467.0,3467000.0,3.467
306,2018.01.19_07.37.27,2896.0,2896000.0,2.896
307,2018.01.19_07.37.29,4205.0,4205000.0,4.205
308,2018.01.19_07.37.30,4820.0,4820000.0,4.82
309,2018.01.19_07.37.31,8320.0,8320000.0,8.32
310,2018.01.19_07.37.32,5178.0,5178000.0,5.178
311,2018.01.19_07.37.33,4630.0,4630000.0,4.63
312,2018.01.19_07.37.34,4686.0,4686000.0,4.686
313,2018.01.19_07.37.35,13398.0,13398000.0,13.398
314,2018.01.19_07.37.36,19549.0,19549000.0,19.549
315,2018.01.19_07.37.38,26226.0,26226000.0,26.226
316,2018.01.19_07.37.39,38394.0,38394000.0,38.394
317,2018.01.19_07.37.40,35990.0,35990000.0,35.99
318,2018.01.19_07.37.41,40687.0,40687000.0,40.687
319,2018.01.19_07.37.42,45619.0,45619000.0,45.619
320,2018.01.19_07.37.43,50059.0,50059000.0,50.059
321,2018.01.19_07.37.44,53470.0,53470000.0,53.47
322,2018.01.19_07.37.45,39378.0,39378000.0,39.378
323,2018.01.19_07.37.46,40810.0,40810000.0,40.81
324,2018.01.19_07.37.47,45753.0,45753000.0,45.753
325,2018.01.19_07.37.48,55696.0,55696000.0,55.696
326,2018.01.19_07.37.50,58145.0,58145000.0,58.145
327,2018.01.19_07.37.51,28541.0,28541000.0,28.541
328,2018.01.19_07.37.52,33250.0,33250000.0,33.25
329,2018.01.19_07.37.53,53124.0,53124000.0,53.124
330,2018.01.19_07.37.54,83287.0,83287000.0,83.287
331,2018.01.19_07.37.55,87492.0,87492000.0,87.492
332,2018.01.19_07.37.56,78030.0,78030000.0,78.03
333,2018.01.19_07.37.57,85278.0,85278000.0,85.278
334,2018.01.19_07.37.58,72673.0,72673000.0,72.673
335,2018.01.19_07.37.59,60483.0,60483000.0,60.483
336,2018.01.19_07.38.00,55193.0,55193000.0,55.193
337,2018.01.19_07.38.02,30867.0,30867000.0,30.867
338,2018.01.19_07.38.03,28899.0,28899000.0,28.899
339,2018.01.19_07.38.04,51703.0,51703000.0,51.703
340,2018.01.19_07.38.05,52274.0,52274000.0,52.274
341,2018.01.19_07.38.06,54287.0,54287000.0,54.287
342,2018.01.19_07.38.07,45742.0,45742000.0,45.742
343,2018.01.19_07.38.08,53940.0,53940000.0,53.94
344,2018.01.19_07.38.09,28698.0,28698000.0,28.698
345,2018.01.19_07.38.10,15836.0,15836000.0,15.836
346,2018.01.19_07.38.11,30084.0,30084000.0,30.084
347,2018.01.19_07.38.13,43874.0,43874000.0,43.874
348,2018.01.19_07.38.14,55170.0,55170000.0,55.17
